pitch_deg,fxO,fyO,fzO,txO,tyO,tzO,ftx,fty,ftz,eex,eey,eez
-1.652048480395758290e+01,-1.200900376930436053e-01,8.881123028356763260e-01,-1.045642824679137206e+01,-2.892151787780553041e-01,-8.259490371086530835e-01,-7.231288549271806809e-02,3.503941999398027529e-01,6.847522314455824861e-05,3.037434247156729494e-01,5.201441139119304946e-01,-1.235868467473253784e-06,3.035873900434851724e-01
-1.673613143903738987e+01,-1.180924829737661774e-01,8.912881733110745719e-01,-1.045076465891852990e+01,-2.904339174107237187e-01,-8.238621322544137371e-01,-7.204129991163266133e-02,3.492573064811028138e-01,6.746068780034893695e-05,3.034074844957907469e-01,5.190072168835214717e-01,-2.662475702704369387e-06,3.032477938174015231e-01
-1.695130390263057407e+01,-1.035270150780109866e-01,8.886552891354037031e-01,-1.035486149387192079e+01,-2.899747055636007764e-01,-8.112616507105809838e-01,-7.216592076553743351e-02,3.481164982426772636e-01,6.635448828018965955e-05,3.030833487445326324e-01,5.178664152877074933e-01,-5.433740202563576861e-06,3.029316594054109468e-01
-1.716714241821785336e+01,-8.662116394796903762e-02,8.784547928981023546e-01,-1.036140575394780683e+01,-2.868354289522163647e-01,-8.068927203287823424e-01,-7.062573717151672537e-02,3.469810964282317722e-01,6.589491609653897624e-05,3.027375826038514184e-01,5.167310113719442155e-01,-6.038335434921821574e-06,3.025836273838803936e-01
-1.738342904788664001e+01,-7.529373969240316100e-02,8.775230446507945592e-01,-1.021457321790753170e+01,-2.869231306146356464e-01,-7.908064027710985933e-01,-7.172182436748358869e-02,3.458370865793389815e-01,6.607744399950077807e-05,3.023999333579172055e-01,5.155870112270899419e-01,-4.479871210568485787e-06,3.022563933002404557e-01
-1.759601940130898967e+01,-5.963522882590899243e-02,8.623632380436079270e-01,-1.016213588416219160e+01,-2.821859220645856481e-01,-7.797003809665812302e-01,-6.963788521444877477e-02,3.447155608213460787e-01,6.579602642717292786e-05,3.020606648488394219e-01,5.144654911815864651e-01,-6.026133029477732570e-06,3.019247079771843478e-01
-1.781307387414368648e+01,-4.480496654886101382e-02,8.698106748593027460e-01,-1.018675775515888837e+01,-2.850109339123534369e-01,-7.750621261833923192e-01,-7.018676995283398834e-02,3.435732565013814299e-01,6.750913538250717313e-05,3.017105473425342188e-01,5.133231890350462567e-01,-3.382048849977247786e-06,3.015768340062378039e-01
-1.802871774521460679e+01,-2.264843516527026424e-02,8.687516813093333345e-01,-1.023546352532678938e+01,-2.848593136605435672e-01,-7.708729672731189364e-01,-6.953667875764232842e-02,3.424440025617971339e-01,6.894174344114096793e-05,3.013484721216005968e-01,5.121939340198771173e-01,-1.151706130748562321e-06,3.012129845374234005e-01
-1.796530685774645164e+01,-1.368387172075902214e-02,4.345417370532718149e-01,-4.974277562113946338e+00,-1.428026045404233446e-01,-3.763606331239682801e-01,-3.584794944205134393e-02,3.424619057187382465e-01,6.705034055504763941e-05,3.021115736300538090e-01,5.122117318218258886e-01,-3.981114394685945283e-06,3.023439365012866586e-01
-1.774892476056036017e+01,-1.280791183490204155e-02,4.385758448298246459e-01,-4.912416181387875724e+00,-1.442977346886263890e-01,-3.714117400689230797e-01,-3.738795143680202770e-02,3.435925702561699602e-01,6.751731492159765381e-05,3.024887782561498373e-01,5.133423822233915690e-01,-3.370989170595358169e-06,3.027312899905038601e-01
-1.753253886930600913e+01,-4.186068519704710944e-02,4.265374494150093732e-01,-4.790771362358348995e+00,-1.403837250464182729e-01,-3.731843419576325038e-01,-3.593138357499678359e-02,3.447280122552610626e-01,6.798712064852892583e-05,3.028584919980162882e-01,5.144778202315947180e-01,-2.755400667038036757e-06,3.031038233933335824e-01
-1.731939508341289979e+01,-3.555641610579152179e-02,4.054665419887904521e-01,-4.667448793008643015e+00,-1.326357404944872032e-01,-3.618704698304699985e-01,-3.372061628941557671e-02,3.458501148609849363e-01,6.790406292808192701e-05,3.032165272205549211e-01,5.155999267249501417e-01,-2.961701891407219700e-06,3.034591178053854255e-01
-1.709977601734088282e+01,-6.970287121811069575e-02,3.799949962972187789e-01,-4.587356954991208546e+00,-1.237855510901486045e-01,-3.681192543804505668e-01,-3.044602633352674892e-02,3.470022451238696237e-01,6.737510911609133661e-05,3.035909606376813175e-01,5.167520481580355485e-01,-2.627096063955523917e-06,3.038398974834133903e-01
-1.688758256695181359e+01,-1.002183708375652404e-01,3.683760615243568126e-01,-4.534553237618022870e+00,-1.200936492288797314e-01,-3.749516433182062958e-01,-2.960874400560973424e-02,3.481210570354456579e-01,6.690903010328738188e-05,3.039360407869209357e-01,5.178708530616096262e-01,-4.607228431468339785e-06,3.041892886902929360e-01
-1.666893234726629558e+01,-1.014165756939018337e-01,3.558862763145280717e-01,-4.452518882219754559e+00,-1.159047175301902155e-01,-3.690740675773322987e-01,-2.952481829826199625e-02,3.492709936904774826e-01,6.682359782860758878e-05,3.043011705498236963e-01,5.190207805550591802e-01,-4.812950441340777051e-06,3.045604534726381596e-01
